"","id","original","processed"
"26","26","""The Clintons now charge the Secret Service $10,000 monthly rent for the use of (a) Secret Service residence and that rent is just about equal to their mortgage payment.""","the clintons charge secret service 10,000 monthly rent use secret service residence rent equal mortgage payment chain email"
"27","27","Health insurance premiums ""have almost doubled ... since 2000.""","health insurance premiums almost doubled ... since hillary clinton"
"28","28","""I'm probably one of the four or five best-known Americans in the world.""","probably one four five best-known americans world rudy giuliani"
"29","29","""Rural schools enroll 40 percent of American children, but receive only 22 percent of federal education funding.""","rural schools enroll percent american children receive percent federal education funding john edwards"
"30","30","""The Republican governor who stood up and cut spending instead of raising taxes.""","the republican governor stood cut spending instead raising taxes mitt romney"
"31","31","""He's sued gun manufacturers. He was supportive of Brady. He was supportive of things like assault weapon bans.""","sued gun manufacturers supportive brady supportive things like assault weapon bans mike huckabee"
"32","32","""Bill Richardson is the only major Democratic candidate with a plan to withdraw all American troops from Iraq. All of the other major Democratic candidates support leaving American troops in Iraq indefinitely.""","bill richardson major democratic candidate plan withdraw american troops iraq all major democratic candidates support leaving american troops iraq indefinitely bill richardson"
"33","33","""I was the first presidential candidate to lay out a specific, truly universal health care plan.""","first presidential candidate lay specific truly universal health care plan john edwards"
"34","34","""Obama was enrolled in a Wahabi school in Jakarta. Wahabism is the RADICAL teaching that is followed by the Muslim terrorists who are now waging Jihad against the western world.""","obama enrolled wahabi school jakarta wahabism radical teaching followed muslim terrorists waging jihad western world chain email"
"35","35","""One man opposed a flawed strategy in Iraq. One man had the courage to call for change. One man didn't play politics with the truth.""","one man opposed flawed strategy iraq one man courage call change one man n't play politics truth john mccain"
"36","36","""McCain Trying to Have it Both Ways on Iraq""","mccain trying have both ways iraq democratic national committee"
"37","37","""Hillary stood up for universal health care when almost no one else would, and kept standing till 6-million kids had coverage.""","hillary stood universal health care almost one else would kept standing till 6-million kids coverage hillary clinton"
"38","38","""Mitt Romney opposed the gun lobby, even Ronald Reagan.""","mitt romney opposed gun lobby even ronald reagan log cabin republicans"
"39","39","""She stood by ground zero workers who sacrificed their health after so many sacrificed their lives and kept standing till this administration took action.""","she stood ground zero workers sacrificed health many sacrificed lives kept standing till administration took action hillary clinton"
"40","40","""Going to public financing really disadvantages Democrats because you're not able to raise funds between the day you win the primaries and the time you're officially nominated.""","going public financing really disadvantages democrats 're able raise funds day win primaries time 're officially nominated bill richardson"
"41","41","""Mayor Giuliani's lawsuit killed the line-item veto.""","mayor giuliani lawsuit killed line-item veto mitt romney"
"42","42","""John McCain is right on that one. The line-item veto is the best tool the president has to rein in excessive spending.""","john mccain right one the line-item veto best tool president rein excessive spending mitt romney"
"43","43","""For every single illegal immigrant family in this country, it costs $20,000 — it costs us $20,000; $20,000 in infrastructural costs. They pay about $10,000 in taxes.""","for every single illegal immigrant family country costs 20,000 costs 20,000 20,000 infrastructural costs they pay 10,000 taxes tom tancredo"
"44","44","""The Iraq Study Group reported that (Saddam Hussein) had designs on reviving his nuclear program.""","the iraq study group reported saddam hussein designs reviving nuclear program fred thompson"
"45","45","""The estate tax, which came into being by Republicans like Teddy Roosevelt and others ... is there for a real simple reason: In America, we've never liked the idea of massive inherited wealth.""","the estate tax came republicans like teddy roosevelt others ... real simple reason america 've never liked idea massive inherited wealth hillary clinton"
"46","46","The form students fill out to get college financial aid is ""longer than the form to get U.S. citizenship.""","the form students fill get college financial aid longer form get u.s citizenship bill richardson"
"47","47","""Americans spend 100-million hours a year filling out these forms (FAFSA). That is the equivalent of 55,500 full-time jobs.""","americans spend 100-million hours year filling forms fafsa that equivalent 55,500 full-time jobs hillary clinton"
"48","48","""First, he said he would take all of our troops out in six months, and now he acknowledges it would take a year.""","first said would take troops six months acknowledges would take year joe biden"
"49","49","""First, he was in favor of my plan, now he's attacking it.""","first favor plan attacking joe biden"
"50","50","Clinton ""refused repeated requests to meet with the Gold Star Mothers.""","clinton refused repeated requests meet gold star mothers chain email"
"51","51","The signers of the Declaration of Independence were ""brave people, most of whom, by the way, were clergymen.""","the signers declaration independence brave people way clergymen mike huckabee"
"52","52","Thompson ""voted against $250,000 caps on damages (and) almost anything that would make our legal system fairer.""","thompson voted 250,000 caps damages almost anything would make legal system fairer rudy giuliani"
"53","53","Obama spokesman Bill Burton says Clinton gave Bush ""a blank check on a critical foreign policy issue.""","obama spokesman bill burton says clinton gave bush blank check critical foreign policy issue barack obama"
"54","54","""I supported tort reform with regard to securities...product liability...interstate commerce.""","supported tort reform regard securities ... product liability ... interstate commerce fred thompson"
"55","55","He received ""A"" ratings from ""every conservative organization that gives ratings.""","received ratings every conservative organization gives ratings tom tancredo"
"56","56","""All of the records, as far as I know, about what we did with health care, those are already available.""","all records far know health care already available hillary clinton"
"57","57","""The fact of the matter is that my colleague from New York, Senator Clinton, there are 50 percent of the American public that say they're not going to vote for her.""","the fact matter colleague new york senator clinton percent american public say 're going vote chris dodd"
"58","58","""It's just outrageous that under President Bush, the National Institutes of Health have been basically decreased in funding.""","outrageous president bush national institutes health basically decreased funding hillary clinton"
"59","59","""Here's a man who brags about how he made the city safe. It was the Biden crime bill that became the Clinton crime bill that allowed him to do that.""","here man brags made city safe biden crime bill became clinton crime bill allowed joe biden"
"60","60","Clinton has ""raised the most money from Washington lobbyists ... from the health industry, drug companies, health insurance companies (and) the defense industry.""","clinton raised money washington lobbyists ... health industry drug companies health insurance companies defense industry john edwards"
"61","61","""I had prostate cancer, five, six years ago. My chance of surviving prostate cancer, and thank God I was cured of it, in the United States, 82%. My chances of surviving prostate cancer in England, only 44% under socialized medicine.""","prostate cancer five six years ago chance surviving prostate cancer thank god cured united states chances surviving prostate cancer england socialized medicine rudy giuliani"
"62","62","""My husband has not withheld a single document.""","husband withheld single document hillary clinton"
"63","63","Huckabee ""was one of the highest taxing governors that we had in this country and rivaling Bill Clinton in terms of the Cato ratings.""","huckabee one highest taxing governors country rivaling bill clinton terms cato ratings fred thompson"
"64","64","""He's a good man but he's a pro-life liberal. He's right on the pro-life part, but he's a liberal.""","good man pro-life liberal right pro-life part liberal fred thompson"
"65","65","""John wasn't this raging populist four years ago"" when he ran for president.","john n't raging populist four years ago ran president barack obama"
"66","66","Obama ""refused to not only put his hand on his heart during the Pledge of Allegiance, but refused to say the pledge.""","obama refused put hand heart pledge allegiance refused say pledge chain email"
"67","67","""Right now, an employer has more of a chance of getting hit by lightning than be prosecuted for hiring an undocumented worker. That has to change.""","right employer chance getting hit lightning prosecuted hiring undocumented worker that change barack obama"
"68","68","""Sixty-five percent of the Iraqi people now say it's okay to shoot an American soldier.""","sixty-five percent iraqi people say okay shoot american soldier bill richardson"
"69","69","""Fred's never had a 100 percent record on right-to-life in his Senate career. The records reflect that. And he doesn't support the human life amendment, which is most amazing because that's been a part of the Republican platform since 1980.""","fred never percent record right-to-life senate career the records reflect and n't support human life amendment amazing part republican platform since mike huckabee"
"70","70","""Thanks to President Bush's policies....The income gap is now higher than at any time since the Great Depression.""","thanks president bush policies ... .the income gap higher time since great depression hillary clinton"
"71","71","""I spend a lot of time in Iowa, and believe it or not, in Ottumwa, Iowa, this is the heartland, the newspaper, the regular newspaper for Ottumwa, Iowa, is (a) bilingual newspaper.""","spend lot time iowa believe ottumwa iowa heartland newspaper regular newspaper ottumwa iowa bilingual newspaper tom tancredo"
"72","72","""A ham and cheese sandwich on one slice of bread is the responsibility of the USDA ... But a ham and cheese sandwich on two slices of bread is the responsibility of the Food and Drug Administration.""","ham cheese sandwich one slice bread responsibility usda ... but ham cheese sandwich two slices bread responsibility food drug administration hillary clinton"
"73","73","""Murder went up"" when Romney was governor. ""Robbery went up. Violent crimes went up.""","murder went romney governor robbery went violent crimes went rudy giuliani"
"74","74","""The truth of the matter is that during my administration, the FBI's crime statistics show that violent crime was reduced in Massachusetts by 7 percent.""","the truth matter administration fbi crime statistics show violent crime reduced massachusetts percent mitt romney"
"75","75","""If Sen. Hillary Clinton could enact all of her campaign proposals, taxpayers would be faced with financing more than $777.6-billion in new spending over one White House term.""","sen. hillary clinton could enact campaign proposals taxpayers would faced financing 777.6-billion new spending one white house term republican national committee"
"76","76","""The oddest thing is he doesn't want to do for America what he did for Massachusetts. He did mandate health care for Massachusetts, which is HillaryCare, and he doesn't want to do that for America.""","the oddest thing n't want america massachusetts mandate health care massachusetts hillarycare n't want america rudy giuliani"
"77","77","""Hillary's baby bond proposal would give $5,000 to each of the 4-million babies born in the U.S. each year, totaling $20-billion per year, multiplied by four years = $80-billion.""","hillary baby bond proposal would give 5,000 4-million babies born u.s. year totaling 20-billion per year multiplied four years 80-billion republican national committee"
"78","78","""Senator Obama's relatives and friends say he has been talking about running for president for at least the last 15 years,"" a campaign spokesman said.","senator obama relatives friends say talking running president least last years campaign spokesman said hillary clinton"
"79","79","Huckabee supported ""a tuition break to the children of illegals that are here illegally when citizens are having to pay a higher rate.""","huckabee supported tuition break children illegals illegally citizens pay higher rate mitt romney"
"80","80","""Productivity has risen 18 percent ...yet wages have stayed flat... There are 5-million more people in poverty here in our country than there were in 2000.""","productivity risen percent ... yet wages stayed flat ... there 5-million people poverty country hillary clinton"
"81","81","""I saw my father march with Martin Luther King.""","saw father march martin luther king mitt romney"
"82","82","An anonymous e-mail says that Hillary Clinton advocates communism.","anonymous e-mail says hillary clinton advocates communism chain email"
"83","83","""Five percent of Americans pay over half the income taxes in this country. Forty percent of Americans pay no income taxes at all.""","five percent americans pay half income taxes country forty percent americans pay income taxes fred thompson"
"84","84","""When Pakistan erupted in crisis, I spoke to Musharraf before Bush did.""","when pakistan erupted crisis spoke musharraf bush joe biden"
"85","85","""I'm prolife. I'm not going to apologize for becoming prolife. Ronald Reagan followed that same course, as did Henry Hyde and George Herbert Walker Bush. And I'm proud to be prolife.""","prolife going apologize becoming prolife ronald reagan followed course henry hyde george herbert walker bush and proud prolife mitt romney"
"86","86","Says he has ""the most impressive education record"" of the Republican candidates.","says impressive education record republican candidates mike huckabee"
"87","87","""We reduced abortion. We increased adoptions by 135 percent.""","reduced abortion increased adoptions percent rudy giuliani"
"88","88","""George Bush ... used a signing statement (on a FEMA bill) to say, 'I don't have to follow that, unless I choose to.' ""","george bush ... used signing statement fema bill say n't follow unless choose hillary clinton"
"89","89","""I just talked about guns. I told you what my position was, and what I did as governor, the fact that I received the endorsement of the NRA.""","talked guns told position governor fact received endorsement nra mitt romney"
"90","90","Huckabee ""granted 1,033 pardons and commutations . . . more clemencies than the previous three governors combined.""","huckabee granted 1,033 pardons commutations clemencies previous three governors combined mitt romney"
"91","91","""I can't sign money. That's illegal.""","n't sign money that illegal hillary clinton"
"92","92","Romney refused to pardon ""a decorated soldier"" returning from Iraq who had been charged with a crime involving a BB gun when he was 13.","romney refused pardon decorated soldier returning iraq charged crime involving gun mike huckabee"
"93","93","In the Illinois Legislature, Barack Obama ""voted 'present,' instead of yes or no"" on seven votes involving abortion rights.","illinois legislature barack obama voted 'present instead yes seven votes involving abortion rights hillary clinton"
"94","94","""I have 35 years' experience making change.""","years experience making change hillary clinton"
"95","95","The Mormon religion has ""a plan that will see the Constitution thrown out and replaced by a theocracy.""","the mormon religion plan see constitution thrown replaced theocracy freedom defense advocates"
"96","96","""Sen. McCain says it was not a mistake to vote against the Bush tax cuts ... but now says the tax cuts need to be made permanent.""","sen. mccain says mistake vote bush tax cuts ... says tax cuts need made permanent mitt romney"
"97","97","Biden was responsible for ""ending genocide in Bosnia.""","biden responsible ending genocide bosnia joe biden"
"98","98","""McCain opposes repeal of the death tax.""","mccain opposes repeal death tax mitt romney"
"99","99","""...some of those (tax increases) were either court-ordered, or they were voted on by the people and approved by the people for (such) things as roads.""","... tax increases either court-ordered voted people approved people things roads mike huckabee"
"100","100","""There's not a major bill I know with Hillary's name on it.""","there major bill know hillary name joe biden"
"101","101","As secretary of the Department of Energy under former President Bill Clinton, ""I created reserves of home heating oil.""","secretary department energy former president bill clinton created reserves home heating oil bill richardson"
"102","102","""I supported the surge when you didn't.""","supported surge n't mike huckabee"
"103","103","""I don't describe your plan as amnesty in my ad. I don't call it amnesty.""","n't describe plan amnesty n't call amnesty mitt romney"
"104","104","""There are 7,000 kids in New Hampshire who have health care because I helped to create the Children's Health Insurance Program.""","there 7,000 kids new hampshire health care helped create children health insurance program hillary clinton"
"105","105","""Sen. Obama's chair in New Hampshire is a lobbyist. He lobbies for the drug companies.""","sen. obama chair new hampshire lobbyist lobbies drug companies hillary clinton"
"106","106","The church Barack Obama belongs to only admits black people.","the church barack obama belongs admits black people chain email"
"107","107","""While others place their hands over their hearts, Obama turns his back to the flag and slouches.""","while others place hands hearts obama turns back flag slouches chain email"
"108","108","The church Barack Obama belongs to has a ""nonnegotiable commitment to Africa.""","the church barack obama belongs nonnegotiable commitment africa chain email"
"109","109","""I supported (the surge), I argued for it. I'm the only one on this stage that did.""","supported surge argued one stage john mccain"
"110","110","Barack Obama's middle name is Mohammed and he's a ""covert"" Muslim.","barack obama middle name mohammed covert muslim chain email"
"111","111","""Congress just passed another huge, pork-filled spending bill. The Democrats allowed less than a day to read all 3,400 pages and stuffed it with nearly 10,000 earmarks costing about $10-billion dollars.""","congress passed another huge pork-filled spending bill the democrats allowed less day read 3,400 pages stuffed nearly 10,000 earmarks costing 10-billion dollars john mccain"
"112","112","""(My dad) used to campaign against the gas-guzzling dinosaurs.""","dad used campaign gas-guzzling dinosaurs mitt romney"
"113","113","The Bush administration has ""the Pentagon trying to take away the signing bonuses when a soldier gets wounded and ends up in the hospital, something that I'm working with a Republican senator to try to make sure never can happen again.""","the bush administration pentagon trying take away signing bonuses soldier gets wounded ends hospital something working republican senator try make sure never happen hillary clinton"
"114","114","""Barack (Obama) has one of his biggest supporters in terms of funding, the Exelon Corporation, which has spent millions of dollars trying to make Yucca Mountain the waste depository.""","barack obama one biggest supporters terms funding exelon corporation spent millions dollars trying make yucca mountain waste depository hillary clinton"
"115","115","Says he passed a bill to stop a military requirement that wounded soldiers pay for meals and phone calls.","says passed bill stop military requirement wounded soldiers pay meals phone calls barack obama"
"116","116","""And delivered more tax relief than the other Republicans combined.""","and delivered tax relief republicans combined rudy giuliani"
"117","117","""And he's the only candidate who will fight for a national catastrophe fund to reduce insurance rates.""","and candidate fight national catastrophe fund reduce insurance rates rudy giuliani"
"118","118","""I don't have lobbyists running my campaign.""","n't lobbyists running campaign mitt romney"
"119","119","""When I was in college, we used to take a popcorn popper . . . and we would fry squirrel.""","when college used take popcorn popper would fry squirrel mike huckabee"
"120","120","Obama said that ""since 1992, the Republicans have had all the good ideas...""","obama said since republicans good ideas ... bill clinton"
"121","121","""On issue after issue that really were hard to explain or understand, you voted present . . . And anytime anyone raises that, there's always some kind of explanation.""","issue issue really hard explain understand voted present and anytime anyone raises always kind explanation hillary clinton"
"122","122","""I know that Hillary on occasion has said — just last year said this (NAFTA) was a boon to the economy.""","know hillary occasion said last year said nafta boon economy barack obama"
"123","123","""While I was working on those streets watching those folks see their jobs shift overseas, you were a corporate lawyer sitting on the board at Wal-Mart.""","while working streets watching folks see jobs shift overseas corporate lawyer sitting board wal-mart barack obama"
"124","124","""When the Fair Tax becomes law, it will be like waving a magic wand releasing us from pain and unfairness.""","when fair tax becomes law like waving magic wand releasing pain unfairness mike huckabee"
"125","125","""I won the majority of the Republican vote in both New Hampshire and South Carolina.""","majority republican vote new hampshire south carolina john mccain"
"126","126","""Hillary interned with Bob Treuhaft, the head of the California Communist Party.""","hillary interned bob treuhaft head california communist party chain email"
"127","127","Says he was the only Republican candidate at a prior debate who said lower-income workers were being hurt by the economy.","says republican candidate prior debate said lower-income workers hurt economy mike huckabee"
"128","128","""Now, I also support the Bush tax cuts. Sen. McCain voted against them originally. He now believes they should be made permanent. I'm glad he agrees they should be made permanent.""","now also support bush tax cuts sen. mccain voted originally believes made permanent glad agrees made permanent mitt romney"
"129","129","Said he's the only Republican candidate ""who's actually turned around a government economy.""","said republican candidate actually turned around government economy rudy giuliani"
"130","130","""I was pretty proud of being the only guy on the stage that ever had a job in the private sector.""","pretty proud guy stage ever job private sector mitt romney"
"131","131","""The average American is working through the month of May just to pay off the government.""","the average american working month may pay government mike huckabee"
"132","132","Mitt Romney wants ""to set a date for withdrawal"" from Iraq.","mitt romney wants set date withdrawal iraq john mccain"
"133","133","""Gasoline would rise in price by approximately 50 cents a gallon"" if the McCain-Lieberman bill became law.","gasoline would rise price approximately cents gallon mccain-lieberman bill became law mitt romney"
"134","134","Romney used to favor gun control, and said he didn't want to go back to Reagan-Bush.","romney used favor gun control said n't want back reagan-bush john mccain"
"135","135","Hillary Clinton ""actually differed with (John McCain) by arguing for exceptions for torture before changing positions.""","hillary clinton actually differed john mccain arguing exceptions torture changing positions barack obama"
"136","136","Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""","hillary clinton agrees john mccain voting give george bush benefit doubt iran barack obama"
"137","137","Hillary Clinton ""agrees with (John McCain) in embracing the Bush-Cheney policy of not talking to leaders we don't like.""","hillary clinton agrees john mccain embracing bush-cheney policy talking leaders n't like barack obama"
"138","138","Hillary Clinton ""agreed with (John McCain) on voting for the war in Iraq.""","hillary clinton agreed john mccain voting war iraq barack obama"
"139","139","Romney left Massachusetts ""with a $245-million debt because of the big government-mandated health care system.""","romney left massachusetts 245-million debt big government-mandated health care system john mccain"
"140","140","""I want to freeze interest rates for five years.""","want freeze interest rates five years hillary clinton"
"141","141","""(John McCain) was even mentioned as a running mate with John Kerry.""","john mccain even mentioned running mate john kerry citizens united political victory fund"
"142","142","John McCain has said the economy is ""not his strong suit.""","john mccain said economy strong suit mitt romney"
"143","143","""8 years of the Clintons, major losses for Democrats across the nation.""","years clintons major losses democrats across nation barack obama"
"144","144","John McCain ""voted against the Bush tax cuts, both times.""","john mccain voted bush tax cuts times citizens united political victory fund"
"145","145","""In her short time in the United States Senate, the senator from New York, Senator Clinton, got $500-million worth of pork barrel projects.""","short time united states senate senator new york senator clinton got 500-million worth pork barrel projects john mccain"
"146","146","John McCain ""said publicly that Hillary Clinton would make a good president.""","john mccain said publicly hillary clinton would make good president james dobson"
"147","147","""I'm the only Republican who has gotten endorsements in this presidential race from major labor unions...""","republican gotten endorsements presidential race major labor unions ... mike huckabee"
"148","148","""One man sacrificed for his country. One man opposed a flawed strategy in Iraq. One man had the courage to call for change. One man didn't play politics with the truth. One man stands up to the special interests.""","one man sacrificed country one man opposed flawed strategy iraq one man courage call change one man n't play politics truth one man stands special interests john mccain"
"149","149","""She said, you know, 'I voted for it, but I hoped it wouldn't pass.' That was a quote on live TV.""","she said know voted hoped would n't pass that quote live barack obama"
"150","150","Barack Obama said ""he's going to attack Pakistan and embrace (Iranian President Mahmoud) Ahmadinejad.""","barack obama said going attack pakistan embrace iranian president mahmoud ahmadinejad george bush"
"151","151","""Senator Obama has, in fact, never had a serious Republican challenger.""","senator obama fact never serious republican challenger hillary clinton"
"152","152","Says the difference between her and Barack Obama is ""about 35 years of experience.""","says difference barack obama years experience hillary clinton"
"153","153","""Hillary Clinton believed NAFTA was a 'boon' to our economy.""","hillary clinton believed nafta 'boon economy barack obama"
"154","154","The DNC says McCain flip-flopped on whether the Iraq War would be easy.","the dnc says mccain flip-flopped whether iraq war would easy democratic national committee"
"155","155","""Barack Obama loves Che Guevara.""","barack obama loves che guevara bloggers"
"156","156","""When we've got CEOs making more in 10 minutes than ordinary workers are making in a year ... then something is wrong.""","when 've got ceos making minutes ordinary workers making year ... something wrong barack obama"
"157","157","""I committed to public financing; (Obama) committed to public financing.""","committed public financing obama committed public financing john mccain"
"158","158","Obama ""suggested bombing Pakistan.""","obama suggested bombing pakistan john mccain"
"159","159","Barack Obama has written and co-sponsored more bills in three years than Hillary Clinton has in seven.","barack obama written co-sponsored bills three years hillary clinton seven chain email"
"160","160","""We borrow money from the Chinese to buy oil from the Saudis.""","borrow money chinese buy oil saudis hillary clinton"
"161","161","He's been endorsed by ""every major newspaper here in the state of Texas.""","endorsed every major newspaper state texas barack obama"
"162","162","John McCain has ""a consistent pattern of ducking important environmental votes.""","john mccain consistent pattern ducking important environmental votes sierra club"
"163","163","Clinton said ""great things about NAFTA until she started running for president.""","clinton said great things nafta started running president barack obama"
"164","164","""You don't even have to go outside Obama's campaign to find advisers who are anti-Israel.""","you n't even outside obama campaign find advisers anti-israel tennessee republican party"
"165","165","""The board of a nonprofit organization on which Obama served as a paid director ... granted funding to a controversial Arab group.""","the board nonprofit organization obama served paid director ... granted funding controversial arab group tennessee republican party"
"166","166","""John McCain says it's okay with him if the U.S. spends the next thousand years in Iraq.""","john mccain says okay u.s. spends next thousand years iraq votevets.org"
"167","167","""Could I just point out that ... I seem to get the first question all the time?""","could point ... seem get first question time hillary clinton"
"168","168","Obama ""basically threatened to bomb Pakistan.""","obama basically threatened bomb pakistan hillary clinton"
"169","169","""I've spent 20 years devoted to working on behalf of families who are having a tough time and are seeking out the American dream.""","'ve spent years devoted working behalf families tough time seeking american dream barack obama"
"170","170","""He (Obama) chairs the subcommittee on Europe. ... He's held not one substantive hearing to do oversight.""","obama chairs subcommittee europe ... held one substantive hearing oversight hillary clinton"
"171","171","""We are bogged down in a war that John McCain now suggests might go on for another 100 years.""","bogged war john mccain suggests might another years barack obama"
"172","172","Obama ""only wants your children to have health insurance.""","obama wants children health insurance hillary clinton"
"173","173","McCain and Bush are millionaires who are ""for tax cuts for millionaires.""","mccain bush millionaires tax cuts millionaires campaign defend america"
"174","174","""We've won twice as many states. We've won a greater share of the popular vote.""","'ve twice many states 've greater share popular vote barack obama"
"175","175","""I helped to bring peace to Northern Ireland.""","helped bring peace northern ireland hillary clinton"
"176","176","Both McCain and Bush favor tax breaks for oil companies.","both mccain bush favor tax breaks oil companies campaign defend america"
"177","177","""I've been standing up against ... the Chinese government over women's rights and standing up for human rights.""","'ve standing ... chinese government women rights standing human rights hillary clinton"
"178","178","Obama says Clinton in 2002 suggested there was a connection between al-Qaida and the Iraqi government.","obama says clinton suggested connection al-qaida iraqi government barack obama"
"179","179","""I am a candidate. I have not withdrawn.""","candidate withdrawn mike gravel"
"180","180","Hillary Clinton and Barack Obama want to raise taxes on dividends, a move that would crash the stock market.","hillary clinton barack obama want raise taxes dividends move would crash stock market chain email"
"181","181","Hillary Clinton and Barack Obama want to raise capital gains taxes, which apply to home sales.","hillary clinton barack obama want raise capital gains taxes apply home sales chain email"
"182","182","Hillary Clinton and Barack Obama want to raise taxes on all income brackets.","hillary clinton barack obama want raise taxes income brackets chain email"
"183","183","""(Obama) did accept donations from lobbyists and PACs and he spent money in this campaign from that, through his political action committee.""","obama accept donations lobbyists pacs spent money campaign political action committee bill clinton"
"184","184","Obama spent ""40 percent of the PAC money, 43 percent to be exact, on Iowa, New Hampshire, Nevada and South Carolina politicians.""","obama spent percent pac money percent exact iowa new hampshire nevada south carolina politicians bill clinton"
"185","185","""I remember landing under sniper fire.""","remember landing sniper fire hillary clinton"
"186","186","The Jewish holiday Purim is ""their version of Halloween here.""","the jewish holiday purim version halloween john mccain"
"187","187","""According to The Book of Revelations the anti-christ ... will be a man, in his 40s, of MUSLIM descent ... is it OBAMA??""","according the book revelations anti-christ ... man 40s muslim descent ... obama chain email"
"188","188","""Iraq is costing each household about $100 a month.""","iraq costing household month barack obama"
"189","189","Hillary Clinton's international travels included ""no serious diplomacy.""","hillary clinton international travels included serious diplomacy dick morris"
"190","190","""Bill Clinton invited him (the Rev. Wright) to the White House when he was having his personal crises.""","bill clinton invited rev wright white house personal crises barack obama"
"191","191","""A year ago, in March 2007, I called for immediate action to address abuses in the subprime market, and I laid out detailed concrete proposals for how to do so.""","year ago march called immediate action address abuses subprime market laid detailed concrete proposals hillary clinton"
"192","192","""My husband didn't wrap up the nomination until June.""","husband n't wrap nomination june hillary clinton"
"193","193","""I did very well with young people in Ohio, Massachusetts, California.""","well young people ohio massachusetts california hillary clinton"
